team_id,home_team,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
1,Atlanta Hawks,0-0,0-2,1-1,0-2,1-1,2-0,1-0,1-0,2-0,1-0,1-0,1-0,0-1,0-1,0-1,1-1,1-1,0-1,1-0,1-1,0-1,2-0,1-1,1-0,1-0,1-0,1-0,1-0,0-1,1-1
2,Boston Celtics,1-0,0-0,1-1,2-0,2-0,1-1,1-0,1-0,2-0,1-0,1-0,1-1,1-0,1-0,1-0,1-1,1-0,1-0,1-0,0-2,1-0,0-2,2-0,0-1,1-0,1-0,1-0,2-0,1-0,2-0
3,Brooklyn Nets,2-0,0-2,0-0,2-0,1-1,0-2,0-1,0-1,0-1,1-0,1-0,1-1,0-1,1-0,1-0,1-0,1-1,0-1,0-1,2-0,0-1,2-0,0-2,0-1,1-0,0-1,1-0,2-0,1-0,2-0
4,Charlotte Hornets,1-1,0-2,0-2,0-0,1-1,0-2,1-0,0-1,1-1,1-0,0-1,1-1,0-1,0-1,0-1,2-0,0-1,1-0,0-1,0-1,1-0,0-2,1-1,0-1,0-1,0-1,1-0,0-2,0-1,1-1
5,Chicago Bulls,1-1,2-0,2-0,2-0,0-0,0-2,1-0,0-1,2-0,1-0,0-1,1-1,0-1,0-1,1-0,1-0,1-1,1-0,0-1,0-2,0-1,0-2,0-2,0-1,1-0,0-1,1-0,1-0,1-0,2-0
6,Cleveland Cavaliers,1-0,2-0,0-1,1-1,2-0,0-0,1-0,0-1,2-0,0-1,1-0,2-0,1-0,1-0,1-0,1-1,2-0,0-1,1-0,1-1,1-0,2-0,1-1,1-0,1-0,0-1,1-0,1-1,1-0,2-0
7,Dallas Mavericks,0-1,0-1,1-0,0-1,0-1,0-1,0-0,1-1,1-0,1-1,1-1,0-1,1-1,1-1,1-1,1-0,0-1,0-1,2-0,1-0,1-1,1-0,1-0,1-1,2-0,1-0,1-1,1-0,2-0,0-1
8,Denver Nuggets,1-0,1-0,0-1,1-0,0-1,1-0,1-1,0-0,0-1,2-0,2-0,1-0,2-0,2-0,2-0,1-0,1-0,2-0,1-1,0-1,1-1,1-0,1-0,2-0,2-0,1-0,1-0,1-0,2-0,1-0
9,Detroit Pistons,0-2,0-2,0-2,1-1,0-2,0-2,1-0,0-1,0-0,1-0,0-1,1-1,0-1,0-1,0-1,0-2,0-2,1-0,0-1,0-2,1-0,2-0,0-1,0-1,0-1,0-1,1-0,0-2,0-1,0-1
10,Golden State Warriors,1-0,1-0,0-1,1-0,1-0,1-0,1-0,0-1,0-1,0-0,2-0,0-1,2-0,1-1,2-0,1-0,1-0,1-1,2-0,1-0,2-0,0-1,1-0,1-1,2-0,2-0,2-0,1-0,2-0,1-0
11,Houston Rockets,1-0,1-0,0-1,0-1,0-1,0-1,0-2,1-1,1-0,0-2,0-0,0-1,0-2,1-1,0-2,0-1,1-0,1-1,1-1,0-1,2-0,0-1,1-0,1-0,0-1,0-2,1-1,0-1,1-1,0-1
12,Indiana Pacers,1-1,0-1,1-1,1-0,2-0,1-1,0-1,0-1,1-1,1-0,1-0,0-0,1-0,0-1,0-1,1-1,0-2,0-1,1-0,0-2,1-0,2-0,0-2,0-1,1-0,1-0,0-1,2-0,0-1,1-1
13,Los Angeles Clippers,0-1,1-0,0-1,1-0,1-0,1-0,1-1,0-2,1-0,2-0,2-0,1-0,0-0,2-0,1-0,0-1,0-1,1-1,0-2,1-0,1-1,0-1,0-1,0-2,1-0,0-2,2-0,1-0,1-1,1-0
14,Los Angeles Lakers,1-0,0-1,1-0,0-1,0-1,0-1,0-2,2-0,1-0,2-0,1-0,0-1,0-2,0-0,2-0,1-0,0-1,0-1,2-0,0-1,1-1,1-0,0-1,2-0,1-1,0-2,2-0,1-0,1-1,1-0
15,Memphis Grizzlies,1-0,0-1,1-0,1-0,1-0,1-0,2-0,1-0,1-0,2-0,2-0,1-0,1-1,1-0,0-0,1-0,1-0,2-0,2-0,1-0,2-0,1-0,1-0,1-1,1-1,1-1,2-0,0-1,2-0,1-0
16,Miami Heat,2-0,1-1,0-2,2-0,0-2,1-1,1-0,0-1,0-1,1-0,1-0,1-1,1-0,1-0,1-0,0-0,2-0,1-0,1-0,1-1,1-0,2-0,0-1,1-0,0-1,1-0,0-1,1-1,1-0,2-0
17,Milwaukee Bucks,1-1,1-1,2-0,1-1,1-1,2-0,1-0,1-0,2-0,1-0,1-0,1-1,1-0,0-1,0-1,2-0,0-0,1-0,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,2-0,1-0,1-1
18,Minnesota Timberwolves,1-0,0-1,0-1,0-1,1-0,1-0,1-1,2-0,0-1,1-1,2-0,1-0,1-0,1-1,2-0,1-0,0-1,0-0,1-0,0-1,1-1,0-1,0-1,1-1,1-1,1-1,1-1,1-0,0-2,0-1
19,New Orleans Pelicans,1-0,0-1,0-1,1-0,1-0,0-1,2-0,1-1,1-0,2-0,2-0,1-0,1-0,1-1,2-0,0-1,0-1,1-1,0-0,1-0,1-1,0-1,1-0,2-0,1-1,1-1,2-0,1-0,0-1,0-1
20,New York Knicks,1-1,1-1,2-0,1-1,0-1,2-0,0-1,1-0,2-0,1-0,1-0,1-1,0-1,0-1,0-1,2-0,0-2,0-1,1-0,0-0,0-1,1-0,1-1,1-0,0-1,1-0,1-0,0-2,1-0,1-1
21,Oklahoma City Thunder,0-1,1-0,1-0,0-1,1-0,1-0,1-0,0-2,1-0,1-1,2-0,1-0,2-0,0-1,2-0,0-1,0-1,0-2,0-2,0-1,0-0,1-0,0-1,1-1,2-0,0-2,2-0,1-0,2-0,1-0
22,Orlando Magic,1-1,1-1,1-0,1-1,0-1,0-2,1-0,1-0,2-0,1-0,0-1,1-1,1-0,0-1,0-1,1-1,0-2,0-1,1-0,1-1,1-0,0-0,0-2,1-0,0-1,0-1,1-0,2-0,0-1,1-1
23,Philadelphia 76ers,2-0,1-1,2-0,1-0,0-2,1-0,1-0,1-0,2-0,1-0,1-0,2-0,1-0,1-0,1-0,0-2,1-1,0-1,1-0,1-1,0-1,1-1,0-0,1-0,1-0,1-0,0-1,2-0,1-0,1-1
24,Phoenix Suns,0-1,0-1,1-0,1-0,1-0,0-1,1-1,2-0,1-0,2-0,1-1,1-0,0-2,2-0,1-1,0-1,0-1,2-0,2-0,1-0,2-0,1-0,1-0,0-0,1-1,1-1,1-0,1-0,1-0,0-1
25,Portland Trail Blazers,1-0,0-1,0-1,1-0,0-1,0-1,2-0,1-1,1-0,1-1,2-0,1-0,0-2,1-1,0-1,0-1,0-1,2-0,0-2,0-1,0-2,0-1,0-1,1-0,0-0,0-2,2-0,0-1,1-1,0-1
26,Sacramento Kings,0-1,0-1,1-0,0-1,1-0,1-0,1-1,1-1,1-0,1-1,2-0,1-0,1-1,1-1,1-1,1-0,0-1,0-2,1-0,1-0,1-0,1-0,0-1,1-1,1-1,0-0,1-1,0-1,2-0,0-1
27,San Antonio Spurs,1-0,0-1,1-0,0-1,1-0,1-0,0-2,1-1,1-0,0-1,1-1,1-0,0-2,0-2,0-2,0-1,1-0,1-1,0-2,1-0,0-1,1-0,0-1,0-2,1-1,0-2,0-0,0-1,1-1,0-1
28,Toronto Raptors,1-1,0-2,0-2,2-0,2-0,2-0,1-0,1-0,2-0,0-1,1-0,0-1,0-1,1-0,0-1,2-0,1-1,1-0,1-0,1-1,1-0,2-0,1-1,1-0,1-0,0-1,1-0,0-0,0-1,1-0
29,Utah Jazz,0-1,1-0,0-1,1-0,0-1,1-0,1-1,2-0,0-1,1-0,1-0,1-0,2-0,1-1,2-0,0-1,0-1,0-2,2-0,0-1,1-1,1-0,0-1,1-1,0-2,1-1,1-1,1-0,0-0,1-0
30,Washington Wizards,0-2,1-0,0-2,2-0,2-0,0-1,1-0,0-1,2-0,0-1,0-1,1-1,0-1,0-1,1-0,2-0,0-2,1-0,0-1,0-2,0-1,1-1,1-1,1-0,0-1,0-1,1-0,1-1,1-0,0-0
