team_id,Row.names,FG%,3P%,TRB,AST,STL,BLK,TOV,PF,PTS,opFG%,op3P%,opTRB,opAST,opSTL,opBLK,opTOV,opPF,opPTS
1,Atlanta Hawks,0.483,0.352,44.4,25.0,7.1,4.9,12.9,18.8,118.4,0.486,0.356,44.1,26.0,7.5,5.0,14.2,19.7,118.1
2,Boston Celtics,0.475,0.377,45.3,26.7,6.4,5.2,13.4,18.8,117.9,0.463,0.345,44.0,23.1,6.6,3.9,12.7,19.1,111.4
3,Brooklyn Nets,0.487,0.378,40.5,25.5,7.1,6.2,13.7,21.1,113.4,0.463,0.367,45.1,23.4,7.0,3.9,13.7,18.5,112.5
4,Charlotte Hornets,0.457,0.33,44.5,25.1,7.7,5.2,14.2,20.3,111.0,0.477,0.357,46.2,25.9,7.0,5.7,14.4,20.3,117.2
5,Chicago Bulls,0.49,0.361,42.4,24.5,7.9,4.5,13.4,18.9,113.1,0.468,0.357,43.3,26.0,6.7,4.7,15.0,18.7,111.8
6,Cleveland Cavaliers,0.488,0.367,41.1,24.9,7.1,4.7,13.3,19.0,112.3,0.468,0.368,41.2,23.0,7.0,4.4,15.7,20.4,106.9
7,Dallas Mavericks,0.475,0.371,38.8,22.9,6.3,3.7,12.2,20.7,114.2,0.485,0.352,44.7,24.9,6.4,3.8,13.1,21.8,114.1
8,Denver Nuggets,0.504,0.379,43.0,28.9,7.5,4.5,14.5,18.6,115.8,0.478,0.344,40.8,25.7,7.9,4.2,13.5,19.5,112.5
9,Detroit Pistons,0.454,0.351,42.4,23.0,7.0,3.8,15.1,22.1,110.3,0.489,0.36,44.7,25.8,7.7,5.5,13.5,21.0,118.5
10,Golden State Warriors,0.479,0.385,44.6,29.8,7.2,3.9,16.3,21.4,118.9,0.469,0.364,43.3,25.7,7.9,4.0,14.3,18.4,117.1
11,Houston Rockets,0.457,0.327,46.3,22.4,7.3,4.6,16.2,20.5,110.7,0.482,0.374,41.5,26.1,8.8,6.2,13.2,20.6,118.6
12,Indiana Pacers,0.469,0.367,41.5,27.0,7.7,5.8,14.9,21.2,116.3,0.485,0.373,45.3,26.4,7.9,5.3,15.1,20.2,119.5
13,Los Angeles Clippers,0.477,0.381,43.2,23.9,7.1,4.4,14.2,19.5,113.6,0.474,0.365,43.1,25.0,7.8,4.2,13.0,19.6,113.1
14,Los Angeles Lakers,0.482,0.346,45.7,25.3,6.4,4.6,14.1,17.9,117.2,0.469,0.344,44.9,25.7,7.6,5.1,12.6,21.5,116.6
15,Memphis Grizzlies,0.475,0.351,46.6,26.0,8.3,5.8,13.6,20.0,116.9,0.453,0.355,44.4,26.4,6.8,5.2,15.1,20.0,113.0
16,Miami Heat,0.46,0.344,40.6,23.8,8.0,3.0,13.5,18.5,109.5,0.482,0.367,41.8,25.6,7.0,3.8,15.7,20.0,109.8
17,Milwaukee Bucks,0.473,0.368,48.6,25.8,6.4,4.9,14.6,18.1,116.9,0.456,0.354,44.2,23.9,7.0,3.9,11.8,19.0,113.3
18,Minnesota Timberwolves,0.49,0.365,41.9,26.2,8.0,5.4,15.3,21.6,115.8,0.471,0.369,44.7,25.0,8.2,4.1,15.4,20.2,115.8
19,New Orleans Pelicans,0.48,0.364,43.7,25.9,8.3,4.1,14.6,20.5,114.4,0.472,0.339,41.8,24.9,7.3,4.7,15.0,20.4,112.5
20,New York Knicks,0.47,0.354,46.6,22.9,6.4,4.1,13.0,20.3,116.0,0.462,0.357,42.0,25.1,6.0,4.5,12.7,20.7,113.1
21,Oklahoma City Thunder,0.465,0.356,43.6,24.4,8.2,4.2,13.0,21.0,117.5,0.474,0.358,46.6,25.9,7.0,5.5,16.8,20.4,116.4
22,Orlando Magic,0.47,0.346,43.2,23.2,7.4,4.7,15.1,20.1,111.4,0.476,0.351,42.0,25.9,7.7,5.1,14.7,20.5,114.0
23,Philadelphia 76ers,0.487,0.387,40.9,25.2,7.7,4.7,13.7,20.4,115.2,0.473,0.348,41.2,24.2,6.6,4.6,14.3,19.6,110.9
24,Phoenix Suns,0.467,0.374,44.2,27.3,7.1,5.3,13.5,21.2,113.6,0.466,0.357,42.9,23.4,7.2,4.0,14.4,19.9,111.6
25,Portland Trail Blazers,0.474,0.365,40.5,24.2,6.7,4.6,14.5,20.0,113.4,0.491,0.379,43.2,27.0,7.8,4.3,13.5,20.5,117.4
26,Sacramento Kings,0.494,0.369,42.5,27.3,7.0,3.4,13.5,19.7,120.7,0.492,0.373,42.2,26.7,7.3,4.2,14.2,20.9,118.1
27,San Antonio Spurs,0.465,0.345,43.7,27.2,7.0,3.9,15.3,19.9,113.0,0.507,0.391,45.0,26.8,8.1,5.3,13.8,18.5,123.1
28,Toronto Raptors,0.459,0.335,43.0,23.9,9.4,5.2,11.7,20.0,112.9,0.491,0.374,42.3,26.2,6.0,4.6,16.7,19.6,111.4
29,Utah Jazz,0.473,0.353,45.9,26.0,6.1,5.2,15.4,20.5,117.1,0.473,0.361,43.5,25.0,7.8,4.9,12.6,20.5,118.0
30,Washington Wizards,0.485,0.356,43.6,25.4,6.8,5.2,14.1,18.8,113.2,0.473,0.366,43.0,24.8,7.1,5.0,12.3,19.4,114.4

