team_id,Row.names,FG%,3P%,TRB,AST,STL,BLK,TOV,PF,PTS,opFG%,op3P%,opTRB,opAST,opSTL,opBLK,opTOV,opPF,opPTS
1,Atlanta Hawks,0.483,0.352,0.5714285714285713,0.3513513513513514,0.303030303030303,0.5937500000000001,0.7391304347826085,0.7857142857142854,0.7946428571428574,0.514,0.644,0.43103448275862033,0.25,0.4642857142857144,0.5,0.4799999999999997,0.38235294117647056,0.30864197530864224
2,Boston Celtics,0.475,0.377,0.6632653061224487,0.581081081081081,0.0909090909090911,0.6875,0.6304347826086956,0.7857142857142854,0.7500000000000003,0.5369999999999999,0.655,0.4482758620689654,0.9749999999999996,0.7857142857142859,0.9583333333333333,0.17999999999999972,0.20588235294117718,0.7222222222222221
3,Brooklyn Nets,0.487,0.378,0.17346938775510226,0.41891891891891897,0.303030303030303,1.0,0.5652173913043479,0.23809523809523792,0.34821428571428614,0.5369999999999999,0.633,0.25862068965517226,0.9000000000000004,0.642857142857143,0.9583333333333333,0.3799999999999997,0.02941176470588275,0.6543209876543211
4,Charlotte Hornets,0.457,0.33,0.5816326530612246,0.36486486486486513,0.4848484848484849,0.6875,0.4565217391304349,0.4285714285714285,0.1339285714285714,0.523,0.643,0.068965517241379,0.27500000000000036,0.642857142857143,0.20833333333333326,0.5199999999999999,0.5588235294117649,0.36419753086419726
5,Chicago Bulls,0.49,0.361,0.36734693877551017,0.2837837837837839,0.5454545454545455,0.46875,0.6304347826086956,0.7619047619047621,0.32142857142857084,0.532,0.643,0.5689655172413797,0.25,0.75,0.6249999999999999,0.6399999999999999,0.08823529411764722,0.6975308641975312
6,Cleveland Cavaliers,0.488,0.367,0.23469387755102075,0.3378378378378377,0.303030303030303,0.53125,0.652173913043478,0.7380952380952379,0.2499999999999997,0.532,0.632,0.9310344827586198,1.0,0.642857142857143,0.7499999999999998,0.7799999999999997,0.5882352941176467,1.0
7,Dallas Mavericks,0.475,0.371,0.0,0.06756756756756754,0.06060606060606065,0.21875000000000006,0.891304347826087,0.3333333333333336,0.4196428571428573,0.515,0.648,0.32758620689655127,0.5250000000000004,0.857142857142857,1.0,0.2599999999999998,1.0,0.555555555555556
8,Denver Nuggets,0.504,0.379,0.42857142857142866,0.8783783783783782,0.42424242424242425,0.46875,0.39130434782608703,0.8333333333333328,0.5624999999999996,0.522,0.656,1.0,0.3250000000000002,0.3214285714285715,0.8333333333333333,0.33999999999999986,0.3235294117647061,0.6543209876543211
9,Detroit Pistons,0.454,0.351,0.36734693877551017,0.08108108108108125,0.27272727272727276,0.24999999999999994,0.26086956521739146,0.0,0.07142857142857116,0.511,0.64,0.32758620689655127,0.2999999999999998,0.3928571428571429,0.29166666666666674,0.33999999999999986,0.7647058823529411,0.28395061728395043
10,Golden State Warriors,0.479,0.385,0.5918367346938778,1.0,0.3333333333333334,0.28124999999999994,0.0,0.16666666666666718,0.8392857142857146,0.531,0.636,0.5689655172413797,0.3250000000000002,0.3214285714285715,0.9166666666666666,0.5,0.0,0.3703703703703707
11,Houston Rockets,0.457,0.327,0.7653061224489792,0.0,0.3636363636363636,0.4999999999999999,0.021739130434782927,0.38095238095238104,0.10714285714285737,0.518,0.626,0.8793103448275859,0.22499999999999964,0.0,0.0,0.2799999999999997,0.6470588235294122,0.277777777777778
12,Indiana Pacers,0.469,0.367,0.27551020408163285,0.6216216216216216,0.4848484848484849,0.8749999999999999,0.30434782608695654,0.21428571428571463,0.6071428571428568,0.515,0.627,0.22413793103448332,0.15000000000000036,0.3214285714285715,0.3750000000000001,0.6599999999999998,0.5294117647058822,0.222222222222222
13,Los Angeles Clippers,0.477,0.381,0.4489795918367351,0.20270270270270263,0.303030303030303,0.4375000000000001,0.4565217391304349,0.619047619047619,0.366071428571428,0.526,0.635,0.6034482758620685,0.5,0.3571428571428573,0.8333333333333333,0.23999999999999985,0.35294117647058887,0.6172839506172844
14,Los Angeles Lakers,0.482,0.346,0.7040816326530615,0.39189189189189205,0.0909090909090911,0.4999999999999999,0.4782608695652175,1.0,0.6875000000000001,0.531,0.656,0.2931034482758623,0.3250000000000002,0.4285714285714288,0.4583333333333335,0.15999999999999978,0.9117647058823528,0.4012345679012348
15,Memphis Grizzlies,0.475,0.351,0.7959183673469389,0.4864864864864865,0.6666666666666669,0.8749999999999999,0.5869565217391305,0.5,0.660714285714286,0.5469999999999999,0.645,0.3793103448275864,0.15000000000000036,0.7142857142857144,0.41666666666666663,0.6599999999999998,0.47058823529411775,0.6234567901234569
16,Miami Heat,0.46,0.344,0.18367346938775544,0.18918918918918942,0.5757575757575757,0.0,0.6086956521739131,0.8571428571428569,0.0,0.518,0.633,0.8275862068965518,0.34999999999999964,0.642857142857143,1.0,0.7799999999999997,0.47058823529411775,0.8209876543209881
17,Milwaukee Bucks,0.473,0.368,1.0,0.4594594594594596,0.0909090909090911,0.5937500000000001,0.36956521739130443,0.9523809523809518,0.660714285714286,0.544,0.646,0.41379310344827536,0.7750000000000004,0.642857142857143,0.9583333333333333,0.0,0.17647058823529443,0.6049382716049385
