team_id,home_team,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
1,Atlanta Hawks,0-0,2-0,1-1,1-1,1-1,2-0,1-0,0-1,1-0,1-0,0-1,2-0,1-0,1-0,1-0,1-1,2-0,1-0,0-1,0-2,1-0,1-1,0-1,1-0,1-0,1-0,0-1,1-1,0-1,2-0
2,Boston Celtics,2-0,0-0,1-1,1-1,1-1,1-0,0-1,1-0,1-1,0-1,1-0,2-0,0-1,1-0,1-0,1-1,2-0,1-0,1-0,2-0,1-0,1-0,1-1,1-0,0-1,1-0,0-1,1-1,1-0,1-1
3,Brooklyn Nets,1-0,0-2,0-0,0-2,0-1,2-0,0-1,0-1,2-0,0-1,1-0,2-0,0-1,0-1,0-1,0-2,0-2,1-0,1-0,2-0,0-1,1-1,1-1,0-1,1-0,1-0,1-0,1-1,1-0,1-1
4,Charlotte Hornets,1-1,0-2,0-1,0-0,0-1,0-2,1-0,0-1,1-1,1-0,1-0,2-0,0-1,1-0,0-1,0-2,2-0,1-0,1-0,1-1,1-0,1-1,0-2,0-1,1-0,1-0,1-0,1-1,1-0,2-0
5,Chicago Bulls,2-0,0-1,1-1,1-1,0-0,2-0,1-0,1-0,2-0,0-1,1-0,1-1,1-0,1-0,0-1,0-2,0-2,1-0,1-0,1-1,1-0,2-0,0-2,0-1,1-0,1-0,1-0,2-0,1-0,1-0
6,Cleveland Cavaliers,1-1,1-1,1-1,0-2,1-1,0-0,0-1,1-0,2-0,0-1,1-0,2-0,1-0,0-1,0-1,1-0,2-0,0-1,1-0,1-0,1-0,2-0,0-2,0-1,1-0,1-0,1-0,2-0,0-1,1-1
7,Dallas Mavericks,1-0,1-0,0-1,1-0,1-0,0-1,0-0,2-0,1-0,2-0,2-0,1-0,1-1,1-1,1-1,0-1,0-1,2-0,1-1,0-1,1-1,1-0,1-0,0-1,1-0,2-0,2-0,1-0,2-0,0-1
8,Denver Nuggets,1-0,0-1,1-0,0-1,0-1,0-1,1-0,0-0,1-0,1-1,2-0,1-0,2-0,1-1,1-1,1-0,0-1,0-2,1-1,1-0,1-1,1-0,0-1,0-1,2-0,2-0,1-1,0-1,0-2,1-0
9,Detroit Pistons,2-0,0-2,0-2,0-1,0-2,2-0,0-1,0-1,0-0,0-1,0-1,2-0,0-1,0-1,0-1,1-1,0-2,0-1,0-1,0-2,0-1,2-0,1-1,0-1,0-1,0-1,1-0,1-0,1-0,0-2
10,Golden State Warriors,1-0,0-1,1-0,1-0,1-0,1-0,1-1,0-2,1-0,0-0,2-0,0-1,2-0,2-0,1-1,1-0,1-0,2-0,1-0,0-1,1-0,1-0,1-0,1-1,2-0,2-0,0-2,1-0,2-0,1-0
