Date,Visitor/Neutral,away_PTS,Home/Neutral,home_PTS
Tue Apr 12 2022,Cleveland Cavaliers,108,Brooklyn Nets,115
Tue Apr 12 2022,Los Angeles Clippers,104,Minnesota Timberwolves,109
Wed Apr 13 2022,Charlotte Hornets,103,Atlanta Hawks,132
Wed Apr 13 2022,San Antonio Spurs,103,New Orleans Pelicans,113
Fri Apr 15 2022,Atlanta Hawks,107,Cleveland Cavaliers,101
Fri Apr 15 2022,New Orleans Pelicans,105,Los Angeles Clippers,101
Sat Apr 16 2022,Utah Jazz,99,Dallas Mavericks,93
Sat Apr 16 2022,Minnesota Timberwolves,130,Memphis Grizzlies,117
Sat Apr 16 2022,Toronto Raptors,111,Philadelphia 76ers,131
Sat Apr 16 2022,Denver Nuggets,107,Golden State Warriors,123
Sun Apr 17 2022,Atlanta Hawks,91,Miami Heat,115
Sun Apr 17 2022,Brooklyn Nets,114,Boston Celtics,115
Sun Apr 17 2022,Chicago Bulls,86,Milwaukee Bucks,93
Sun Apr 17 2022,New Orleans Pelicans,99,Phoenix Suns,110
Mon Apr 18 2022,Toronto Raptors,97,Philadelphia 76ers,112
Mon Apr 18 2022,Utah Jazz,104,Dallas Mavericks,110
Mon Apr 18 2022,Denver Nuggets,106,Golden State Warriors,126
Tue Apr 19 2022,Atlanta Hawks,105,Miami Heat,115
Tue Apr 19 2022,Minnesota Timberwolves,96,Memphis Grizzlies,124
Tue Apr 19 2022,New Orleans Pelicans,125,Phoenix Suns,114
Wed Apr 20 2022,Brooklyn Nets,107,Boston Celtics,114
Wed Apr 20 2022,Philadelphia 76ers,104,Toronto Raptors,101
Wed Apr 20 2022,Chicago Bulls,114,Milwaukee Bucks,110
Thu Apr 21 2022,Memphis Grizzlies,104,Minnesota Timberwolves,95
Thu Apr 21 2022,Dallas Mavericks,126,Utah Jazz,118
Thu Apr 21 2022,Golden State Warriors,118,Denver Nuggets,113
Fri Apr 22 2022,Miami Heat,110,Atlanta Hawks,111
Fri Apr 22 2022,Milwaukee Bucks,111,Chicago Bulls,81
Fri Apr 22 2022,Phoenix Suns,114,New Orleans Pelicans,111
Sat Apr 23 2022,Philadelphia 76ers,102,Toronto Raptors,110
Sat Apr 23 2022,Dallas Mavericks,99,Utah Jazz,100
Sat Apr 23 2022,Boston Celtics,109,Brooklyn Nets,103
Sat Apr 23 2022,Memphis Grizzlies,118,Minnesota Timberwolves,119
Sun Apr 24 2022,Milwaukee Bucks,119,Chicago Bulls,95
Sun Apr 24 2022,Golden State Warriors,121,Denver Nuggets,126
Sun Apr 24 2022,Miami Heat,110,Atlanta Hawks,86
